title,location,startTime,endTime,grade,suggestion
Meeting,Office,2023-04-13 16:35:00,2023-04-13 19:35:00,0,0
Dinner,Home,2023-06-01 07:31:00,2023-06-01 08:31:00,0,0
Exercising,Home,2023-05-03 12:30:00,2023-05-03 16:30:00,3,1
Study,Office,2023-03-24 07:49:00,2023-03-24 08:49:00,0,0
Work,Home,2023-04-13 09:36:00,2023-04-13 15:36:00,0,0
Project Work,Home,2023-03-31 09:48:00,2023-03-31 10:48:00,0,0
Watching TV,Home,2023-08-27 20:03:00,2023-08-27 22:03:00,5,1
Lunch,Cafeteria,2023-03-21 09:42:00,2023-03-21 12:42:00,0,0
Napping,Home,2023-04-24 15:48:00,2023-04-24 17:48:00,5,1
Dinner,Home,2023-06-05 14:21:00,2023-06-05 15:21:00,0,0
Napping,Home,2023-12-08 15:00:00,2023-12-08 17:00:00,5,1
Study,Library,2023-01-02 17:50:00,2023-01-02 20:50:00,0,0
Reading,Library,2023-09-23 18:58:00,2023-09-23 22:58:00,5,1
Study,Library,2023-04-26 14:59:00,2023-04-26 15:59:00,0,0
Lunch,Office,2023-12-04 09:57:00,2023-12-04 13:57:00,0,0
Sleeping,Home,2023-03-06 23:35:00,2023-03-06 05:35:00,4,1
Dinner,Home,2023-09-05 21:59:00,2023-09-05 22:59:00,0,0
Lunch,Office,2023-11-20 10:18:00,2023-11-20 12:18:00,0,0
Napping,Home,2023-07-09 14:35:00,2023-07-09 15:35:00,5,1
Dinner,Cafeteria,2023-02-24 11:17:00,2023-02-24 13:17:00,0,0
Study,Home,2023-10-20 09:27:00,2023-10-20 12:27:00,0,0
Meeting,Office,2023-05-07 21:41:00,2023-05-07 23:41:00,0,0
Study,Office,2023-01-20 17:01:00,2023-01-20 19:01:00,0,0
Project Work,Home,2023-07-17 11:10:00,2023-07-17 14:10:00,0,0
Reading,Home,2023-08-01 13:43:00,2023-08-01 14:43:00,5,1
Shopping,Market,2023-05-06 15:11:00,2023-05-06 16:11:00,0,0
Study,Office,2023-07-10 09:51:00,2023-07-10 11:51:00,0,0
Study,Library,2023-07-16 07:32:00,2023-07-16 10:32:00,0,0
Work,Office,2023-06-19 13:00:00,2023-06-19 21:00:00,0,0
Napping,Home,2023-07-28 14:19:00,2023-07-28 16:19:00,5,1
Dinner,Home,2023-05-25 21:42:00,2023-05-25 23:42:00,0,0
Playing Games,Park,2023-07-05 10:56:00,2023-07-05 11:56:00,3,1
Sleeping,Home,2023-05-14 21:40:00,2023-05-14 06:40:00,5,1
Shopping,Market,2023-04-07 20:30:00,2023-04-07 22:30:00,0,0
Shopping,Market,2023-10-06 15:02:00,2023-10-06 18:02:00,0,0
Lunch,Office,2023-05-12 10:30:00,2023-05-12 14:30:00,0,0
Shopping,Market,2023-11-15 09:43:00,2023-11-15 12:43:00,0,0
Exercising,Park,2023-12-15 20:48:00,2023-12-15 00:48:00,4,1
Project Work,Home,2023-06-19 15:08:00,2023-06-19 16:08:00,0,0
Shopping,Market,2023-11-27 10:31:00,2023-11-27 12:31:00,0,0
Napping,Home,2023-04-13 14:26:00,2023-04-13 15:26:00,5,1
Lunch,Home,2023-04-03 09:56:00,2023-04-03 11:56:00,0,0
Work,Office,2023-04-06 11:03:00,2023-04-06 19:03:00,0,0
Study,Office,2023-04-19 19:14:00,2023-04-19 20:14:00,0,0
Playing Games,Home,2023-04-02 07:04:00,2023-04-02 11:04:00,5,1
Playing Games,Park,2023-11-02 10:45:00,2023-11-02 13:45:00,3,1
Study,Office,2023-03-13 18:22:00,2023-03-13 21:22:00,0,0
Reading,Park,2023-12-25 20:57:00,2023-12-25 22:57:00,5,1
Watching TV,Home,2023-02-28 20:11:00,2023-02-28 00:11:00,3,1
Study,Home,2023-01-06 15:16:00,2023-01-06 16:16:00,0,0
Napping,Home,2023-03-15 14:29:00,2023-03-15 15:29:00,4,1
Playing Games,Home,2023-12-11 12:46:00,2023-12-11 13:46:00,3,1
Lunch,Home,2023-05-21 16:16:00,2023-05-21 18:16:00,0,0
Project Work,Office,2023-08-21 19:57:00,2023-08-21 20:57:00,0,0
Dinner,Cafeteria,2023-08-14 13:53:00,2023-08-14 15:53:00,0,0
Playing Games,Park,2023-11-12 20:19:00,2023-11-12 22:19:00,4,1
Work,Library,2023-07-26 08:40:00,2023-07-26 15:40:00,0,0
Reading,Park,2023-01-16 07:36:00,2023-01-16 10:36:00,3,1
Napping,Home,2023-01-05 15:59:00,2023-01-05 16:59:00,3,1
Reading,Home,2023-06-30 16:06:00,2023-06-30 18:06:00,3,1
Napping,Home,2023-03-08 15:31:00,2023-03-08 17:31:00,3,1
Sleeping,Home,2023-11-24 22:07:00,2023-11-24 07:07:00,5,1
Study,Home,2023-11-25 15:24:00,2023-11-25 19:24:00,0,0
Meeting,Library,2023-09-19 16:18:00,2023-09-19 17:18:00,0,0
Dinner,Home,2023-02-09 15:54:00,2023-02-09 18:54:00,0,0
Napping,Home,2023-12-02 15:11:00,2023-12-02 16:11:00,3,1
Meeting,Office,2023-12-02 13:47:00,2023-12-02 14:47:00,0,0
Reading,Library,2023-10-25 20:57:00,2023-10-25 22:57:00,4,1
Meeting,Office,2023-05-31 08:31:00,2023-05-31 11:31:00,0,0
Napping,Home,2023-08-06 14:44:00,2023-08-06 16:44:00,3,1
Work,Home,2023-11-15 15:24:00,2023-11-15 00:24:00,0,0
Study,Library,2023-10-13 10:18:00,2023-10-13 12:18:00,0,0
Project Work,Office,2023-09-23 10:42:00,2023-09-23 14:42:00,0,0
Napping,Home,2023-04-10 14:38:00,2023-04-10 16:38:00,4,1
Meeting,Library,2023-01-27 10:22:00,2023-01-27 13:22:00,0,0
Work,Home,2023-12-26 12:23:00,2023-12-26 19:23:00,0,0
Playing Games,Home,2023-09-13 18:32:00,2023-09-13 21:32:00,5,1
Dinner,Cafeteria,2023-07-30 18:40:00,2023-07-30 22:40:00,0,0
Dinner,Home,2023-03-14 11:10:00,2023-03-14 13:10:00,0,0
Napping,Home,2023-09-13 14:43:00,2023-09-13 16:43:00,3,1
Sleeping,Home,2023-05-10 22:28:00,2023-05-10 06:28:00,3,1
Project Work,Office,2023-12-22 15:02:00,2023-12-22 17:02:00,0,0
Lunch,Home,2023-04-25 18:19:00,2023-04-25 19:19:00,0,0
Shopping,Market,2023-08-30 16:23:00,2023-08-30 18:23:00,0,0
Meeting,Library,2023-06-24 12:51:00,2023-06-24 13:51:00,0,0
Work,Office,2023-11-08 11:53:00,2023-11-08 20:53:00,0,0
Reading,Home,2023-01-11 20:03:00,2023-01-11 00:03:00,5,1
Watching TV,Home,2023-07-22 10:39:00,2023-07-22 14:39:00,3,1
Study,Office,2023-10-08 16:09:00,2023-10-08 19:09:00,0,0
Dinner,Cafeteria,2023-12-18 16:23:00,2023-12-18 20:23:00,0,0
Exercising,Gym,2023-02-13 10:46:00,2023-02-13 14:46:00,3,1
Shopping,Market,2023-05-22 17:50:00,2023-05-22 21:50:00,0,0
Napping,Home,2023-02-25 14:03:00,2023-02-25 15:03:00,4,1
Shopping,Market,2023-01-06 16:10:00,2023-01-06 19:10:00,0,0
Project Work,Home,2023-02-12 18:45:00,2023-02-12 19:45:00,0,0
Playing Games,Park,2023-04-14 14:39:00,2023-04-14 18:39:00,5,1
Work,Library,2023-02-19 12:33:00,2023-02-19 21:33:00,0,0
Sleeping,Home,2023-12-24 21:34:00,2023-12-24 04:34:00,5,1
Lunch,Cafeteria,2023-12-25 09:24:00,2023-12-25 10:24:00,0,0
Dinner,Home,2023-03-17 08:05:00,2023-03-17 12:05:00,0,0
Study,Office,2023-06-02 15:36:00,2023-06-02 17:36:00,0,0
Shopping,Market,2023-12-04 07:11:00,2023-12-04 11:11:00,0,0
Playing Games,Park,2023-01-22 09:05:00,2023-01-22 11:05:00,5,1
Work,Library,2023-05-27 12:16:00,2023-05-27 19:16:00,0,0
Project Work,Office,2023-03-05 21:08:00,2023-03-05 23:08:00,0,0
Watching TV,Home,2023-12-12 20:01:00,2023-12-12 23:01:00,3,1
Study,Home,2023-01-30 08:48:00,2023-01-30 09:48:00,0,0
Dinner,Cafeteria,2023-10-21 10:56:00,2023-10-21 14:56:00,0,0
Project Work,Home,2023-06-18 18:40:00,2023-06-18 20:40:00,0,0
Watching TV,Home,2023-12-29 11:36:00,2023-12-29 14:36:00,4,1
Sleeping,Home,2023-08-12 21:25:00,2023-08-12 05:25:00,4,1
Exercising,Park,2023-04-14 10:39:00,2023-04-14 14:39:00,5,1
Study,Library,2023-09-25 19:35:00,2023-09-25 21:35:00,0,0
Dinner,Home,2023-11-09 09:30:00,2023-11-09 11:30:00,0,0
Reading,Park,2023-05-23 20:49:00,2023-05-23 23:49:00,3,1
Work,Office,2023-10-16 08:18:00,2023-10-16 16:18:00,0,0
Project Work,Office,2023-07-13 08:29:00,2023-07-13 09:29:00,0,0
Work,Office,2023-05-02 11:02:00,2023-05-02 20:02:00,0,0
Work,Library,2023-11-18 12:37:00,2023-11-18 20:37:00,0,0
Reading,Library,2023-02-06 19:44:00,2023-02-06 23:44:00,5,1
Dinner,Cafeteria,2023-09-08 12:02:00,2023-09-08 16:02:00,0,0
Lunch,Home,2023-01-26 18:21:00,2023-01-26 19:21:00,0,0
Work,Home,2023-03-14 14:39:00,2023-03-14 23:39:00,0,0
Reading,Park,2023-02-20 18:22:00,2023-02-20 20:22:00,4,1
Shopping,Market,2023-01-13 21:17:00,2023-01-13 01:17:00,0,0
Reading,Library,2023-05-28 13:07:00,2023-05-28 17:07:00,4,1
Sleeping,Home,2023-07-15 23:28:00,2023-07-15 08:28:00,4,1
Playing Games,Home,2023-01-08 18:19:00,2023-01-08 22:19:00,3,1
Study,Office,2023-04-03 08:41:00,2023-04-03 09:41:00,0,0
Dinner,Cafeteria,2023-01-15 20:46:00,2023-01-15 22:46:00,0,0
Work,Library,2023-02-16 12:09:00,2023-02-16 20:09:00,0,0
Meeting,Library,2023-08-16 16:50:00,2023-08-16 19:50:00,0,0
Shopping,Market,2023-02-05 07:27:00,2023-02-05 10:27:00,0,0
Lunch,Office,2023-07-29 16:28:00,2023-07-29 18:28:00,0,0
Playing Games,Park,2023-06-01 18:17:00,2023-06-01 21:17:00,3,1
Work,Library,2023-03-03 16:58:00,2023-03-03 22:58:00,0,0
Dinner,Cafeteria,2023-04-28 07:22:00,2023-04-28 09:22:00,0,0
Lunch,Cafeteria,2023-07-01 07:42:00,2023-07-01 10:42:00,0,0
Study,Home,2023-01-13 11:30:00,2023-01-13 15:30:00,0,0
Work,Home,2023-01-08 15:52:00,2023-01-08 22:52:00,0,0
Lunch,Office,2023-04-21 10:51:00,2023-04-21 12:51:00,0,0
Playing Games,Home,2023-06-17 15:56:00,2023-06-17 16:56:00,5,1
Meeting,Library,2023-12-17 18:29:00,2023-12-17 22:29:00,0,0
Shopping,Market,2023-05-28 18:46:00,2023-05-28 21:46:00,0,0
Exercising,Gym,2023-08-23 14:32:00,2023-08-23 15:32:00,4,1
Watching TV,Home,2023-03-07 10:08:00,2023-03-07 14:08:00,3,1
Watching TV,Home,2023-03-24 14:23:00,2023-03-24 16:23:00,3,1
Playing Games,Park,2023-03-31 20:58:00,2023-03-31 00:58:00,4,1
Sleeping,Home,2023-04-12 22:56:00,2023-04-12 04:56:00,4,1
Shopping,Market,2023-07-04 11:55:00,2023-07-04 14:55:00,0,0
Napping,Home,2023-03-14 14:11:00,2023-03-14 16:11:00,4,1
Exercising,Home,2023-06-28 19:36:00,2023-06-28 21:36:00,4,1
Exercising,Park,2023-02-04 16:32:00,2023-02-04 19:32:00,3,1
Watching TV,Home,2023-01-12 17:14:00,2023-01-12 18:14:00,4,1
Exercising,Park,2023-04-19 13:28:00,2023-04-19 16:28:00,4,1
Project Work,Office,2023-05-20 11:18:00,2023-05-20 13:18:00,0,0
Meeting,Office,2023-12-27 11:22:00,2023-12-27 14:22:00,0,0
Lunch,Home,2023-06-27 10:58:00,2023-06-27 14:58:00,0,0
Meeting,Library,2023-08-12 10:07:00,2023-08-12 13:07:00,0,0
Project Work,Office,2023-11-01 15:13:00,2023-11-01 18:13:00,0,0
Napping,Home,2023-03-16 15:00:00,2023-03-16 16:00:00,5,1
Study,Library,2023-05-20 15:15:00,2023-05-20 19:15:00,0,0
Work,Home,2023-04-04 12:11:00,2023-04-04 20:11:00,0,0
Lunch,Home,2023-02-04 11:39:00,2023-02-04 15:39:00,0,0
Watching TV,Home,2023-07-22 19:45:00,2023-07-22 20:45:00,3,1
Exercising,Home,2023-08-30 17:10:00,2023-08-30 19:10:00,4,1
Playing Games,Home,2023-10-23 11:46:00,2023-10-23 12:46:00,3,1
Meeting,Library,2023-01-11 08:27:00,2023-01-11 12:27:00,0,0
Watching TV,Home,2023-09-16 10:35:00,2023-09-16 11:35:00,4,1
Study,Home,2023-03-17 16:18:00,2023-03-17 18:18:00,0,0
Watching TV,Home,2023-02-21 12:34:00,2023-02-21 13:34:00,4,1
Reading,Library,2023-04-02 10:30:00,2023-04-02 11:30:00,3,1
Playing Games,Park,2023-05-12 12:58:00,2023-05-12 13:58:00,5,1
Dinner,Home,2023-09-30 18:55:00,2023-09-30 21:55:00,0,0
Napping,Home,2023-11-16 14:18:00,2023-11-16 16:18:00,3,1
Playing Games,Home,2023-11-17 20:23:00,2023-11-17 22:23:00,4,1
Project Work,Home,2023-09-27 08:06:00,2023-09-27 12:06:00,0,0
Watching TV,Home,2023-10-22 17:53:00,2023-10-22 19:53:00,3,1
Shopping,Market,2023-09-18 07:30:00,2023-09-18 08:30:00,0,0
Playing Games,Park,2023-01-04 18:16:00,2023-01-04 21:16:00,3,1
Watching TV,Home,2023-03-23 17:35:00,2023-03-23 19:35:00,5,1
Shopping,Market,2023-05-25 17:49:00,2023-05-25 21:49:00,0,0
Work,Office,2023-11-24 17:09:00,2023-11-24 00:09:00,0,0
Napping,Home,2023-06-02 14:13:00,2023-06-02 15:13:00,4,1
Napping,Home,2023-09-25 15:06:00,2023-09-25 16:06:00,4,1
Shopping,Market,2023-05-31 13:39:00,2023-05-31 16:39:00,0,0
Shopping,Market,2023-03-02 15:13:00,2023-03-02 16:13:00,0,0
Sleeping,Home,2023-08-08 21:07:00,2023-08-08 06:07:00,4,1
Lunch,Cafeteria,2023-05-11 07:56:00,2023-05-11 10:56:00,0,0
Exercising,Gym,2023-03-14 13:56:00,2023-03-14 17:56:00,4,1
Work,Home,2023-08-06 16:08:00,2023-08-06 22:08:00,0,0
Project Work,Home,2023-10-22 10:06:00,2023-10-22 13:06:00,0,0
Watching TV,Home,2023-02-22 08:07:00,2023-02-22 12:07:00,4,1
Reading,Library,2023-08-14 11:25:00,2023-08-14 13:25:00,5,1
Playing Games,Park,2023-12-11 09:16:00,2023-12-11 11:16:00,5,1
Lunch,Office,2023-11-16 15:50:00,2023-11-16 19:50:00,0,0
Work,Office,2023-01-05 14:24:00,2023-01-05 20:24:00,0,0
Meeting,Library,2023-09-01 11:36:00,2023-09-01 12:36:00,0,0
Sleeping,Home,2023-07-23 21:49:00,2023-07-23 06:49:00,3,1
Dinner,Home,2023-06-15 14:30:00,2023-06-15 17:30:00,0,0
Project Work,Office,2023-09-21 13:25:00,2023-09-21 16:25:00,0,0
Work,Library,2023-05-31 11:33:00,2023-05-31 18:33:00,0,0
Napping,Home,2023-05-05 15:57:00,2023-05-05 16:57:00,4,1
Meeting,Office,2023-10-26 14:27:00,2023-10-26 18:27:00,0,0
Study,Home,2023-07-07 20:33:00,2023-07-07 21:33:00,0,0
Project Work,Office,2023-08-12 10:53:00,2023-08-12 13:53:00,0,0
Shopping,Market,2023-11-07 14:51:00,2023-11-07 17:51:00,0,0
Lunch,Office,2023-03-24 13:54:00,2023-03-24 17:54:00,0,0
Meeting,Office,2023-10-07 14:41:00,2023-10-07 17:41:00,0,0
Napping,Home,2023-03-25 15:09:00,2023-03-25 16:09:00,4,1
Shopping,Market,2023-10-09 13:00:00,2023-10-09 16:00:00,0,0
Work,Library,2023-11-10 10:56:00,2023-11-10 19:56:00,0,0
Exercising,Home,2023-07-17 11:17:00,2023-07-17 13:17:00,3,1
Napping,Home,2023-12-12 14:53:00,2023-12-12 15:53:00,3,1
Napping,Home,2023-10-29 14:03:00,2023-10-29 15:03:00,5,1
Playing Games,Park,2023-03-30 21:42:00,2023-03-30 01:42:00,3,1
Exercising,Gym,2023-11-12 08:20:00,2023-11-12 12:20:00,3,1
Exercising,Park,2023-06-04 11:04:00,2023-06-04 15:04:00,5,1
Project Work,Library,2023-05-01 07:48:00,2023-05-01 10:48:00,0,0
Work,Library,2023-04-28 17:45:00,2023-04-28 23:45:00,0,0
Reading,Park,2023-05-02 15:30:00,2023-05-02 17:30:00,5,1
Sleeping,Home,2023-10-14 21:06:00,2023-10-14 04:06:00,4,1
Sleeping,Home,2023-05-23 22:27:00,2023-05-23 07:27:00,4,1
Shopping,Market,2023-11-24 10:19:00,2023-11-24 11:19:00,0,0
Playing Games,Home,2023-04-07 19:18:00,2023-04-07 23:18:00,4,1
Study,Home,2023-07-09 08:10:00,2023-07-09 12:10:00,0,0
Work,Home,2023-01-02 09:33:00,2023-01-02 18:33:00,0,0
Exercising,Gym,2023-04-29 18:03:00,2023-04-29 22:03:00,4,1
Meeting,Office,2023-06-21 19:36:00,2023-06-21 23:36:00,0,0
Lunch,Home,2023-01-16 17:01:00,2023-01-16 20:01:00,0,0
Playing Games,Home,2023-11-21 08:00:00,2023-11-21 11:00:00,4,1
Project Work,Office,2023-07-22 14:24:00,2023-07-22 15:24:00,0,0
Sleeping,Home,2023-03-27 23:36:00,2023-03-27 06:36:00,3,1
Dinner,Home,2023-06-17 10:05:00,2023-06-17 13:05:00,0,0
Lunch,Office,2023-04-17 13:03:00,2023-04-17 16:03:00,0,0
Napping,Home,2023-04-05 14:57:00,2023-04-05 16:57:00,3,1
Reading,Library,2023-09-14 15:33:00,2023-09-14 17:33:00,3,1
Project Work,Home,2023-03-23 19:04:00,2023-03-23 22:04:00,0,0
Napping,Home,2023-07-06 14:32:00,2023-07-06 15:32:00,4,1
Sleeping,Home,2023-01-13 21:45:00,2023-01-13 03:45:00,3,1
Playing Games,Home,2023-08-08 10:09:00,2023-08-08 13:09:00,3,1
Exercising,Home,2023-10-27 12:05:00,2023-10-27 13:05:00,4,1
Dinner,Cafeteria,2023-10-06 08:07:00,2023-10-06 09:07:00,0,0
Napping,Home,2023-10-15 15:30:00,2023-10-15 16:30:00,4,1
Project Work,Library,2023-02-04 15:54:00,2023-02-04 18:54:00,0,0
Project Work,Home,2023-10-26 11:07:00,2023-10-26 13:07:00,0,0
Exercising,Gym,2023-11-21 10:21:00,2023-11-21 13:21:00,5,1
Napping,Home,2023-11-15 15:44:00,2023-11-15 16:44:00,4,1
Meeting,Office,2023-10-20 10:38:00,2023-10-20 12:38:00,0,0
Work,Office,2023-12-06 11:07:00,2023-12-06 17:07:00,0,0
Meeting,Office,2023-06-22 10:31:00,2023-06-22 14:31:00,0,0
Reading,Library,2023-07-29 07:05:00,2023-07-29 08:05:00,5,1
Study,Library,2023-08-29 18:43:00,2023-08-29 21:43:00,0,0
Watching TV,Home,2023-07-18 21:09:00,2023-07-18 22:09:00,3,1
Sleeping,Home,2023-09-20 22:37:00,2023-09-20 04:37:00,5,1
Meeting,Office,2023-01-29 19:08:00,2023-01-29 23:08:00,0,0
Exercising,Park,2023-03-19 18:46:00,2023-03-19 19:46:00,4,1
Project Work,Office,2023-07-04 07:40:00,2023-07-04 11:40:00,0,0
Sleeping,Home,2023-11-19 23:25:00,2023-11-19 05:25:00,3,1
Dinner,Cafeteria,2023-01-10 17:51:00,2023-01-10 19:51:00,0,0
Playing Games,Home,2023-04-21 09:59:00,2023-04-21 10:59:00,3,1
Watching TV,Home,2023-06-14 14:32:00,2023-06-14 16:32:00,3,1
Dinner,Home,2023-10-12 10:26:00,2023-10-12 12:26:00,0,0
Napping,Home,2023-03-06 14:32:00,2023-03-06 15:32:00,4,1
Lunch,Home,2023-05-22 10:06:00,2023-05-22 13:06:00,0,0
Sleeping,Home,2023-08-24 22:44:00,2023-08-24 06:44:00,3,1
Dinner,Cafeteria,2023-01-03 18:57:00,2023-01-03 19:57:00,0,0
Reading,Home,2023-03-29 09:45:00,2023-03-29 13:45:00,5,1
Work,Home,2023-08-11 16:04:00,2023-08-11 22:04:00,0,0
Reading,Park,2023-01-04 16:29:00,2023-01-04 20:29:00,4,1
Playing Games,Home,2023-04-22 18:17:00,2023-04-22 21:17:00,3,1
Project Work,Home,2023-12-03 10:02:00,2023-12-03 12:02:00,0,0
Meeting,Library,2023-09-01 11:45:00,2023-09-01 14:45:00,0,0
Work,Office,2023-03-24 16:15:00,2023-03-24 23:15:00,0,0
Work,Home,2023-11-03 14:36:00,2023-11-03 20:36:00,0,0
Meeting,Office,2023-01-29 16:04:00,2023-01-29 17:04:00,0,0
Dinner,Home,2023-10-19 08:50:00,2023-10-19 12:50:00,0,0
Playing Games,Park,2023-11-06 20:30:00,2023-11-06 22:30:00,3,1
Watching TV,Home,2023-10-10 20:23:00,2023-10-10 22:23:00,5,1
Reading,Park,2023-12-26 09:35:00,2023-12-26 10:35:00,5,1
Napping,Home,2023-02-12 15:26:00,2023-02-12 16:26:00,5,1
Watching TV,Home,2023-10-30 14:26:00,2023-10-30 18:26:00,4,1
Study,Office,2023-07-17 13:22:00,2023-07-17 15:22:00,0,0
Watching TV,Home,2023-01-29 19:15:00,2023-01-29 22:15:00,4,1
Dinner,Home,2023-05-08 09:26:00,2023-05-08 13:26:00,0,0
Project Work,Home,2023-06-21 10:38:00,2023-06-21 14:38:00,0,0
Playing Games,Park,2023-03-25 21:16:00,2023-03-25 01:16:00,5,1
Project Work,Library,2023-03-04 20:47:00,2023-03-04 21:47:00,0,0
Study,Office,2023-11-27 17:40:00,2023-11-27 21:40:00,0,0
Exercising,Park,2023-07-22 07:10:00,2023-07-22 11:10:00,5,1
Dinner,Cafeteria,2023-05-18 18:13:00,2023-05-18 19:13:00,0,0
Exercising,Park,2023-08-08 14:30:00,2023-08-08 16:30:00,5,1
Reading,Home,2023-08-16 13:45:00,2023-08-16 16:45:00,3,1
Exercising,Home,2023-11-28 12:30:00,2023-11-28 15:30:00,4,1
Napping,Home,2023-12-19 15:41:00,2023-12-19 16:41:00,4,1
Napping,Home,2023-06-16 14:53:00,2023-06-16 15:53:00,3,1
Sleeping,Home,2023-02-01 23:07:00,2023-02-01 05:07:00,5,1
Work,Home,2023-09-01 08:41:00,2023-09-01 15:41:00,0,0
Meeting,Library,2023-12-14 09:50:00,2023-12-14 10:50:00,0,0
Reading,Library,2023-11-10 19:14:00,2023-11-10 22:14:00,5,1
Exercising,Home,2023-01-22 12:27:00,2023-01-22 16:27:00,3,1
Study,Office,2023-08-14 13:36:00,2023-08-14 17:36:00,0,0
Work,Home,2023-11-14 09:46:00,2023-11-14 18:46:00,0,0
Watching TV,Home,2023-10-25 20:50:00,2023-10-25 21:50:00,3,1
Meeting,Library,2023-12-30 08:12:00,2023-12-30 12:12:00,0,0
Playing Games,Home,2023-12-22 07:41:00,2023-12-22 08:41:00,5,1
Meeting,Library,2023-06-19 07:02:00,2023-06-19 08:02:00,0,0
Study,Library,2023-09-08 15:51:00,2023-09-08 19:51:00,0,0
Sleeping,Home,2023-06-01 22:10:00,2023-06-01 06:10:00,3,1
Meeting,Library,2023-09-11 07:26:00,2023-09-11 09:26:00,0,0
Work,Office,2023-08-21 15:56:00,2023-08-21 23:56:00,0,0
